time,tweet,compound,pos,neu,neg,sentiment_label
2025-08-23 12:24:55+00:00,"Quack AI AMA: AI x RWA Smarter Assets, Stronger Trust,Join us today as we go live with , and",0.743,0.343,0.657,0.0,Positive
2025-08-23 12:24:55+00:00,"Crypto moves fast, but moves faster.,Detect price gaps Monitor cross-chain activity Auto-generate tax reports Say goodbye to FOMO. Say hello to automation. SolyAI CryptoAutomation DeFiTools",0.0,0.0,1.0,0.0,Neutral
2025-08-23 12:24:55+00:00,"New infofi , Visit: How Phone Keeps Your Keys Safer Than Software Wallets Deep dive into TEE + SE architecture, explaining why hardware-based key storage matters for mainstream adoption. Web3Community Web3Innovation",0.4404,0.126,0.874,0.0,Positive
2025-08-23 12:24:55+00:00,"Why Markets are on Fire! Fed, Biotech &amp; China Rally,U.S. markets surge as Powells Jackson Hole speech sparks rate-cut optimismDow jumps 800+ points, S&amp;P 500 hits new highs. Biotech leads after strong Q2 results and new drug approvals, while Chinese tech and AI stocks rally to",0.2942,0.072,0.88,0.048,Positive
2025-08-23 12:24:55+00:00,",This time its simple: Tell us how youd use your AI Agent if you had one runn",0.0,0.0,1.0,0.0,Neutral
2025-08-23 13:47:00+00:00,"Were thrilled to share our newest partnership with ,Arichain is building a high-performance Layer 1 that business",0.6249,0.282,0.718,0.0,Positive
2025-08-23 13:47:00+00:00,", (AI)",0.0,0.0,1.0,0.0,Neutral
2025-08-23 13:47:00+00:00,"Localion of the Commmoration of the Salon-de-Provence release, I assisted the traditional military dfil in the Entre-Ville., Uniform troops, Dpoque and fanfare vehicles offered a vibrant tribute to those who fought for our libert.",0.2732,0.095,0.84,0.064,Positive
2025-08-23 13:47:00+00:00,",This time its simple: Tell us how youd use your AI Agent if you had one runn",0.0,0.0,1.0,0.0,Neutral
2025-08-23 13:47:00+00:00,"AI,",0.0,0.0,1.0,0.0,Neutral
2025-08-23 13:47:00+00:00,"Im so looking forward to the scene where Ai shields Mae behind them; their mix of strength and tenderness is utterly charming.,SECRET DEAL EP5 HarmonySecretEP5",0.7184,0.207,0.793,0.0,Positive
2025-08-23 13:47:00+00:00,"Every time a server crashes, every time an API shuts down, it proves the same truth: AI doesnt own the ground it runs on. It can be switched off as easily as it is spun up. That fragility keeps it from becoming what it could be.,0G answers that. On , intelligence isnt",0.7783,0.142,0.858,0.0,Positive
2025-08-23 13:47:00+00:00,"AI writes the trending posts. Bots boost the replies.,Pickax: 100% human-powered. Lets bring back real internet.",0.4019,0.153,0.847,0.0,Positive
2025-08-23 13:47:00+00:00,"AI can make crypto accounting faster.,But speed without accuracy is dangerous. We use AI to: Catch hidden transaction patterns Flag tax-saving opportunities Streamline reconciliations But when its time to file? A licensed CPA signs off. Because the IRS doesnt",0.3771,0.09,0.91,0.0,Positive
2025-08-23 13:47:00+00:00,"When Mae smiles and shows her dimples, Ai stares in a daze the doting in Ais eyes is impossible to hide.,SECRET DEAL EP5 HarmonySecretEP5",0.34,0.12,0.814,0.066,Positive
2025-08-23 13:47:00+00:00,",This time its simple: Tell us how youd use your AI Agent if you had one runn",0.0,0.0,1.0,0.0,Neutral
2025-08-23 13:47:00+00:00,I had a thrill when I saw this image. How can people normalize such atrocits? That alla,0.3612,0.161,0.839,0.0,Positive
2025-08-23 13:47:00+00:00,"this guys., Desperator watch City. Every week there is an al Hilal to bring us reality. Unfortunately the water",-0.34,0.0,0.882,0.118,Negative
2025-08-23 13:47:00+00:00,"Introducing new era of InfoFi - Mindo AI,Claim your scored Social Card, collect Points, and share the current $190,000 USDT p",0.296,0.109,0.891,0.0,Positive
2025-08-23 13:47:00+00:00,"Web3 rewards early adopters and Fraction AI is proof.,Imagine earning just by being active online . Your digital fo",0.7003,0.266,0.734,0.0,Positive
2025-08-23 13:46:59+00:00,"Revolutionizing the rental economy with Web3, blockchain, and AI., is creating: Tokenized Assets Decentralized Security AI-Powered",0.6486,0.326,0.674,0.0,Positive
2025-08-23 13:46:59+00:00,"ai , ai ?",0.0,0.0,1.0,0.0,Neutral
2025-08-23 13:46:59+00:00,"STOCKS are now AVAILABLE on Edgen ,your favorite AI can now fly you from from the highest heights of $BTC technicals to th",0.4588,0.12,0.88,0.0,Positive
2025-08-23 13:46:59+00:00,", ..., AI !",0.0,0.0,1.0,0.0,Neutral
2025-08-23 13:46:59+00:00,"Yo , do us both a favor:,Join AI to trade smarter and we both get a MASSIVE Aura reward boost. And every Aura you farm afterward boosts mine too. So, no pressure, but join now. Deal?",0.7323,0.265,0.648,0.087,Positive
